yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,equalinc,nbgoodc,nbstatus,nbmedia,futsup,discent,exbuscon,exreason,busang,bafund,barel,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,TEAJOBGR,EB_JOBGR,EB_OWNER,TEAOWNER,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP,TEAJOBNOW,EB_JOBNOW,TEACOMPET,EB_COMPET,TEANEWPR,EB_NEWPR,TEANEWTEC,EB_NEWTEC,TEAEXPORT,EB_EXPORT
2011,1.878901419,1.952438526,3467,0,0,1,1,,,,,0,0,,,1,-1,,1,4,6,4,4,0,,,,,0,6,-2,0,0,0,,,,,,,,,,
2011,.5538004048,.5754752406,3467,0,0,0,1,,,,,0,0,,,0,,,2,5,1,5,5,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,.9767634994,1.014992414,68100,0,1,1,0,,,,,0,0,,,0,,,1,6,2,6,4,1,,1,1,,0,4,-2,0,0,0,,0,,1,,3,,3,,6
2011,1.182673773,1.228961677,3467,0,1,1,-2,,,,,0,0,,,0,,,2,6,2,4,4,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,,.7386178966,33,1,1,1,0,,,,,0,0,,,0,,,2,7,1,3,4,0,,,,,0,9,-2,0,0,0,,,,,,,,,,
2011,.8491569176,.8823915208,3467,1,0,0,1,,,,,0,0,,,0,,,2,4,6,5,4,0,,,,,0,8,1,0,0,0,,,,,,,,,,
2011,1.024740246,1.064846891,68100,0,0,0,1,,,,,0,0,,,0,,,1,2,7,6,4,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,1.319954426,1.371615268,68100,1,0,1,1,,,,,0,0,,,0,,,1,2,7,7,2,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,,.7467723918,33,0,1,0,0,,,,,0,0,,,0,,,2,7,2,3,4,0,,,,,0,5,-2,0,0,0,,,,,,,,,,
2011,,1.179757028,33,0,1,1,1,,,,,1,1,-1,7,0,,,1,7,1,2,2,0,0,,,1,0,4,-2,1,0,0,,,-1,,-1,,2,,2,
2011,.8856703587,.9203340379,33,0,0,1,0,,,,,0,0,,,0,,,1,5,2,3,4,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,,1.297490962,-2,0,0,0,0,,,,,0,0,,,0,,,2,7,1,-1,3,0,,,,,0,4,2,0,0,0,,,,,,,,,,
2011,1.319954426,1.371615268,33,1,1,1,0,,,,,0,0,,,0,,,1,2,1,3,3,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,.6115176258,.6354514186,3467,1,0,1,0,,,,,0,0,,,0,,,1,3,5,4,6,1,,-1,1,,0,2,1,0,0,0,,1,,2,,3,,3,,6
2011,,1.084279103,33,0,-1,0,1,,,,,0,0,,,0,,,2,7,1,1,3,0,,,,,0,7,1,0,0,0,,,,,,,,,,
2011,.8856703587,.9203340379,3467,0,0,1,0,,,,,0,0,,,0,,,1,5,4,5,4,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,.9767634994,1.014992414,68100,1,1,1,0,,,,,0,1,1,2,1,25000,4,1,6,1,7,2,1,,1,1,,0,4,-2,0,0,0,,0,,1,,3,,3,,6
2011,.6115176258,.6354514186,3467,0,-1,1,0,,,,,0,0,,,0,,,1,3,3,4,2,0,,,,,0,2,-2,0,0,0,,,,,,,,,,
2011,1.106268405,1.149565928,3467,1,1,1,0,,,,,1,0,,,0,,,1,3,5,5,3,0,,,,,0,5,2,0,0,0,,,,,,,,,,
2011,1.490778122,1.549124723,33,0,1,1,0,,,,,0,0,,,0,,,1,2,1,1,3,0,,,,,0,6,-2,0,0,0,,,,,,,,,,
2011,1.653158243,1.717860134,3467,0,0,0,1,,,,,0,0,,,0,,,2,3,2,4,6,0,,,,,0,3,-2,0,0,0,,,,,,,,,,
2011,1.007511365,1.0469437,68100,1,1,1,0,,,,,0,0,,,1,-2,-2,2,5,6,9,6,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,,.3533597191,-2,1,0,1,0,,,,,0,0,,,0,,,2,7,1,-2,4,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,.9767634994,1.014992414,33,0,0,1,1,,,,,0,0,,,0,,,1,6,2,3,4,0,,,,,0,4,1,0,0,0,,,,,,,,,,
2011,.8856703587,.9203340379,33,1,0,0,1,,,,,0,0,,,0,,,1,5,4,2,3,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,,.9260929929,33,0,-1,0,0,,,,,0,0,,,0,,,1,7,1,1,2,0,,,,,0,10,1,0,0,0,,,,,,,,,,
2011,1.182673773,1.228961677,3467,1,1,1,0,,,,,0,0,,,0,,,2,6,3,5,5,0,-1,,,1,0,5,-2,1,0,1,1,,1,,3,,3,,6,
2011,,1.34646185,33,0,0,0,1,,,,,0,0,,,0,,,2,7,2,2,2,0,,,,,0,8,1,0,0,0,,,,,,,,,,
2011,1.007511365,1.0469437,-2,0,0,-1,1,,,,,0,0,,,0,,,2,5,5,-2,5,0,,,,,0,5,-2,0,0,0,,,,,,,,,,
2011,1.353442579,1.406414092,33,1,0,0,0,,,,,1,1,1,7,0,,,2,4,2,1,4,0,,,,,0,6,-2,0,0,0,,,,,,,,,,
2011,,.8378136458,68100,0,0,1,0,,,,,0,1,1,8,0,,,1,7,1,6,5,0,,,,,0,5,-2,0,0,0,,,,,,,,,,
2011,.3081871682,.3202491064,-2,0,0,1,0,,,,,0,0,,,0,,,1,6,-2,-2,6,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,.7856151061,.8163627875,68100,0,0,1,1,,,,,0,0,,,0,,,1,3,5,6,4,0,1,,,1,0,9,-2,1,0,1,,,2,,2,,2,,6,
2011,.7853870799,.8161258367,-2,0,1,1,0,,,,,0,0,,,1,10000,4,2,6,2,-2,5,0,,,,,0,4,1,0,0,0,,,,,,,,,,
2011,,.619300035,3467,0,0,1,0,,,,,1,0,,,0,,,1,7,2,5,3,0,,,,,0,9,1,0,0,0,,,,,,,,,,
